Subject,Predicate,Object
Child of Our Time,has_genre,Longitudinal study
Nixon's China Game,has_genre,Documentary
Nixon's China Game,released_on_date,2000-01-31 00:00:00
Nixon's China Game,released_on_year,2000
"Here's to You, Charlie Brown: 50 Great Years",has_genre,Documentary film
"Here's to You, Charlie Brown: 50 Great Years",released_on_date,2000-05-10 00:00:00
"Here's to You, Charlie Brown: 50 Great Years",released_on_year,2000
Paromitar Ek Din,directed_by,Aparna Sen
Paromitar Ek Din,starred_by,Rituparna Sengupta
Paromitar Ek Din,released_on_date,2000-01-08 00:00:00
Paromitar Ek Din,released_on_year,2000
"Up, Up and Away",directed_by,Robert Townsend
"Up, Up and Away",starred_by,Robert Townsend
"Up, Up and Away",released_on_date,2000-01-22 00:00:00
"Up, Up and Away",released_on_year,2000
Mary and Rhoda,directed_by,Barnet Kellman
Mary and Rhoda,starred_by,Mary Tyler Moore
Mary and Rhoda,released_on_date,2000-02-07 00:00:00
Mary and Rhoda,released_on_year,2000
Mary and Rhoda,starred_by,Elon Gold
Mary and Rhoda,starred_by,Bethany Joy Lenz
Mary and Rhoda,starred_by,Christine Ebersole
Mary and Rhoda,starred_by,Valerie Harper
Cinderella,directed_by,Beeban Kidron
Cinderella,starred_by,David Warner
Cinderella,released_on_date,2000-01-01 00:00:00
Cinderella,released_on_year,2000
Missing Pieces,directed_by,Carl Schenkel
Missing Pieces,starred_by,Paul Kersey
Missing Pieces,released_on_date,2000-02-06 00:00:00
Missing Pieces,released_on_year,2000
Me You Them,directed_by,Andrucha Waddington
Me You Them,starred_by,Regina Casé
Me You Them,released_on_date,2000-05-16 00:00:00
Me You Them,released_on_year,2000
Tomie,directed_by,Shun Nakahara
Tomie,starred_by,Rio Matsumoto
Tomie,released_on_date,2000-02-11 00:00:00
Tomie,released_on_year,2000
Winner Takes All,directed_by,Clifton Ko
Winner Takes All,starred_by,Ruby Lin
Winner Takes All,released_on_date,2000-01-29 00:00:00
Winner Takes All,released_on_year,2000
Winner Takes All,starred_by,Ricky Hui
Winner Takes All,starred_by,Samuel Hui
Agnes Browne,directed_by,Anjelica Huston
Agnes Browne,starred_by,Gerard McSorley
Agnes Browne,released_on_date,2000-03-03 00:00:00
Agnes Browne,released_on_year,2000
Das Phantom,directed_by,Dennis Gansel
Das Phantom,starred_by,Nadeshda Brennicke
Das Phantom,released_on_date,2000-05-04 00:00:00
Das Phantom,released_on_year,2000
Bread and Tulips,directed_by,Silvio Soldini
Bread and Tulips,starred_by,Giuseppe Battiston
Bread and Tulips,released_on_date,2000-03-03 00:00:00
Bread and Tulips,released_on_year,2000
Fast Food Fast Women,directed_by,Amos Kollek
Fast Food Fast Women,starred_by,Anna Thomson
Fast Food Fast Women,released_on_date,2000-05-15 00:00:00
Fast Food Fast Women,released_on_year,2000
Hands Up!,directed_by,Siva Nageswara Rao
Hands Up!,starred_by,Nagendra Babu
Hands Up!,released_on_date,2000-02-10 00:00:00
Hands Up!,released_on_year,2000
Isn't She Great,directed_by,Andrew Bergman
Isn't She Great,starred_by,David Hyde Pierce
Isn't She Great,released_on_date,2000-01-28 00:00:00
Isn't She Great,released_on_year,2000
Isn't She Great,starred_by,Bette Midler
The Courage to Love,directed_by,Kari Skogland
The Courage to Love,starred_by,Vanessa L. Williams
The Courage to Love,released_on_date,2000-01-24 00:00:00
The Courage to Love,released_on_year,2000
Across the Line,directed_by,Martin Spottl
Across the Line,starred_by,Brian Bloom
Across the Line,released_on_date,2000-02-01 00:00:00
Across the Line,released_on_year,2000
Across the Line,starred_by,Brad Johnson
King of the World,directed_by,John Sacret Young
King of the World,starred_by,Gary Dourdan
King of the World,released_on_date,2000-01-10 00:00:00
King of the World,released_on_year,2000
Bruiser,directed_by,George A. Romero
Bruiser,starred_by,Peter Stormare
Bruiser,released_on_date,2000-02-13 00:00:00
Bruiser,released_on_year,2000
Camp Blood 2,directed_by,Brad Sykes
Camp Blood 2,starred_by,Jane Johnson
Camp Blood 2,released_on_date,2000-04-04 00:00:00
Camp Blood 2,released_on_year,2000
Screwed,directed_by,Scott Alexander and Larry Karaszewski
Screwed,starred_by,Elaine Stritch
Screwed,released_on_date,2000-05-12 00:00:00
Screwed,released_on_year,2000
Screwed,starred_by,Dave Chappelle
Power Rangers Time Force,directed_by,Kaizo Hayashi
Power Rangers Time Force,starred_by,Michael Copon
Power Rangers Time Force,has_genre,Superhero fiction
Power Rangers Time Force,released_on_date,2001-02-03 00:00:00
Power Rangers Time Force,released_on_year,2001
Power Rangers Time Force,has_genre,Action
Power Rangers Time Force,has_genre,Science fiction
Power Rangers Time Force,starred_by,Erin Cahill
Power Rangers Time Force,starred_by,Jason Faunt
Power Rangers Time Force,directed_by,Koichi Sakamoto
Power Rangers Time Force,starred_by,Vernon Wells
Power Rangers Time Force,starred_by,Edward Albert
Hounded,directed_by,Neal Israel
Hounded,starred_by,Craig Kirkwood
Hounded,has_genre,Comedy
Hounded,released_on_date,2001-04-13 00:00:00
Hounded,released_on_year,2001
Hounded,has_genre,Adventure
Hounded,starred_by,"Ed Begley, Jr."
Hounded,starred_by,Tahj Mowry
Hounded,starred_by,Shia LaBeouf
Nancy Drew,directed_by,James Frawley
Nancy Drew,starred_by,Brett Cullen
Nancy Drew,has_genre,Mystery film
Nancy Drew,released_on_date,2002-12-15 00:00:00
Nancy Drew,released_on_year,2002
Nancy Drew,has_genre,Crime film
Nancy Drew,has_genre,Drama film
Nancy Drew,starred_by,Maggie Lawson
Nancy Drew,starred_by,Heath Freeman
Nancy Drew,starred_by,James Avery
Nancy Drew,starred_by,Charlie Finn
Nancy Drew,starred_by,Jill Ritchie
Anybody's Nightmare,directed_by,Tristram Powell
Anybody's Nightmare,starred_by,David Calder
Anybody's Nightmare,has_genre,Crime drama
Anybody's Nightmare,released_on_date,2001-10-07 00:00:00
Anybody's Nightmare,released_on_year,2001
Anybody's Nightmare,starred_by,Patricia Routledge
Anybody's Nightmare,starred_by,Malcolm Sinclair
Smallpox 2002,directed_by,Daniel Percival
Smallpox 2002,starred_by,Leigh Zimmerman
Smallpox 2002,has_genre,Docudrama
Smallpox 2002,released_on_date,2002-02-05 00:00:00
Smallpox 2002,released_on_year,2002
Band of Brothers,directed_by,David Frankel
Band of Brothers,starred_by,Ron Livingston
Band of Brothers,has_genre,War film
Band of Brothers,released_on_date,2001-09-09 00:00:00
Band of Brothers,released_on_year,2001
Band of Brothers,starred_by,Scott Grimes
Band of Brothers,starred_by,David Schwimmer
Band of Brothers,starred_by,Rene L. Moreno
Band of Brothers,starred_by,Richard Speight Jr.
Band of Brothers,starred_by,Rick Gomez
Band of Brothers,starred_by,Matthew Settle
Band of Brothers,starred_by,Colin Hanks
Band of Brothers,starred_by,Eion Bailey
Band of Brothers,starred_by,Frank John Hughes
Band of Brothers,starred_by,Rick Warden
Band of Brothers,starred_by,Dale Dye
Band of Brothers,starred_by,Damian Lewis
Band of Brothers,starred_by,James Madio
Band of Brothers,starred_by,Dexter Fletcher
Band of Brothers,starred_by,Donnie Wahlberg
Band of Brothers,starred_by,Douglas Spain
Band of Brothers,starred_by,Marc Warren
Band of Brothers,starred_by,Kirk Acevedo
Band of Brothers,starred_by,Michael Cudlitz
Band of Brothers,starred_by,Neal McDonough
Band of Brothers,starred_by,Shane Taylor
Band of Brothers,starred_by,Ross McCall
Band of Brothers,directed_by,David Leland
Shooters,directed_by,Colin Teague
Shooters,starred_by,Adrian Dunbar
Shooters,released_on_date,2000-02-21 00:00:00
Shooters,released_on_year,2000
Me You Them,starred_by,Lima Duarte
Center Stage,directed_by,Nicholas Hytner
Center Stage,starred_by,Zoe Saldaña
Center Stage,released_on_date,2000-05-12 00:00:00
Center Stage,released_on_year,2000
Center Stage,starred_by,Amanda Schull
Tumi Mor Matho Mor,directed_by,Zubeen Garg
Tumi Mor Matho Mor,starred_by,Zubeen Garg
Tumi Mor Matho Mor,released_on_date,2000-02-25 00:00:00
Tumi Mor Matho Mor,released_on_year,2000
Tumi Mor Matho Mor,starred_by,Prastuti Parashar
Winner Takes All,starred_by,Annie Wu
Winner Takes All,starred_by,Alec Su
Divided We Fall,directed_by,Jan Hřebejk
Divided We Fall,starred_by,Anna Šišková
Divided We Fall,released_on_date,2000-03-16 00:00:00
Divided We Fall,released_on_year,2000
Agnes Browne,starred_by,Anjelica Huston
Agnes Browne,starred_by,Tom Jones
Das Phantom,starred_by,Mathias Herrmann
Baller Blockin',directed_by,"Ronald ""Slim"" Williams"
Baller Blockin',starred_by,Hot Boys
Baller Blockin',released_on_date,2000-01-25 00:00:00
Baller Blockin',released_on_year,2000
Baller Blockin',directed_by,Birdman
Bread and Tulips,starred_by,Antonio Catania
Bread and Tulips,starred_by,Licia Maglietta
Bread and Tulips,starred_by,Bruno Ganz
Faithless,directed_by,Liv Ullmann
Faithless,starred_by,Lena Endre
Faithless,released_on_date,2000-05-13 00:00:00
Faithless,released_on_year,2000
Kauda Bole Alice,directed_by,Sunil Soma Peiris
Kauda Bole Alice,starred_by,Bandu Samarasinghe
Kauda Bole Alice,released_on_date,2000-04-14 00:00:00
Kauda Bole Alice,released_on_year,2000
Gun Shy,directed_by,Eric Blakeney
Gun Shy,starred_by,Liam Neeson
Gun Shy,released_on_date,2000-02-04 00:00:00
Gun Shy,released_on_year,2000
Hera Pheri,directed_by,Priyadarshan
Hera Pheri,starred_by,Sunil Shetty
Hera Pheri,released_on_date,2000-03-31 00:00:00
Hera Pheri,released_on_year,2000
Hera Pheri,starred_by,Akshay Kumar
Hera Pheri,directed_by,Neeraj Vora
Interview,directed_by,Daniel H. Byun
Interview,starred_by,Lee Jung-jae
Interview,released_on_date,2000-04-01 00:00:00
Interview,released_on_year,2000
Isn't She Great,starred_by,Stockard Channing
Isn't She Great,starred_by,Amanda Peet
The Beach,directed_by,Danny Boyle
The Beach,starred_by,Leonardo DiCaprio
The Beach,released_on_date,2000-02-11 00:00:00
The Beach,released_on_year,2000
The Beach,starred_by,Tilda Swinton
The Color of Friendship,directed_by,Kevin Hooks
The Color of Friendship,starred_by,Lindsey Haun
The Color of Friendship,released_on_date,2000-02-05 00:00:00
The Color of Friendship,released_on_year,2000
Acrobacias del corazón,directed_by,María Teresa Constantini
Acrobacias del corazón,starred_by,Cecilia Dopazo
Acrobacias del corazón,released_on_date,2000-04-13 00:00:00
Acrobacias del corazón,released_on_year,2000
Acrobacias del corazón,starred_by,Gabriel Goity
Acrobacias del corazón,starred_by,Alejandro Awada
Across the Line,starred_by,Sigal Erez
Across the Line,starred_by,Adrienne Barbeau
King of the World,starred_by,Steve Harris
Bruiser,starred_by,Leslie Hope
Bruiser,starred_by,Tom Atkins
Camp Blood 2,starred_by,Patrick Thomas
Camp Blood 2,starred_by,Timothy Patrick
Screwed,starred_by,Daniel Benzali
Screwed,starred_by,Danny DeVito
Sex & Mrs. X,directed_by,Arthur Allan Seidelman
Sex & Mrs. X,starred_by,Linda Hamilton
Sex & Mrs. X,released_on_date,2000-04-10 00:00:00
Sex & Mrs. X,released_on_year,2000
Selkie,directed_by,Donald Crombie
Selkie,starred_by,Bryan Marshall
Selkie,released_on_date,2000-04-06 00:00:00
Selkie,released_on_year,2000
Old Hags,directed_by,Eldar Ryazanov
Old Hags,starred_by,Liya Akhedzhakova
Old Hags,released_on_date,2000-03-03 00:00:00
Old Hags,released_on_year,2000
Old Hags,starred_by,Lyudmila Gurchenko
Utsab,directed_by,Rituparno Ghosh
Utsab,starred_by,Madhabi Mukherjee
Utsab,released_on_date,2000-03-23 00:00:00
Utsab,released_on_year,2000
Utsab,starred_by,Mamata Shankar
Violent Cop,starred_by,Wayne Lai
Violent Cop,released_on_date,2000-01-28 00:00:00
Violent Cop,released_on_year,2000
Violent Cop,starred_by,Anthony Wong
Monarch of the Glen,starred_by,Alastair Mackenzie
Monarch of the Glen,released_on_date,2000-02-27 00:00:00
Monarch of the Glen,released_on_year,2000
Monarch of the Glen,starred_by,Lorraine Pilkington
Monarch of the Glen,starred_by,Alexander Morton
Monarch of the Glen,starred_by,Tom Baker
Monarch of the Glen,starred_by,Lloyd Owen
Showbiz Tycoon,starred_by,Wayne Lai
Showbiz Tycoon,released_on_date,2000-05-01 00:00:00
Showbiz Tycoon,released_on_year,2000
Showbiz Tycoon,starred_by,Alex Fong
Showbiz Tycoon,starred_by,Lee Siu-kei
Timequest,starred_by,Bruce Campbell
Timequest,released_on_date,2000-04-13 00:00:00
Timequest,released_on_year,2000
A Map of the World,starred_by,Sigourney Weaver
A Map of the World,released_on_date,2000-01-21 00:00:00
A Map of the World,released_on_year,2000
A Map of the World,starred_by,Louise Fletcher
The Sea,starred_by,Ángela Molina
The Sea,released_on_date,2000-04-14 00:00:00
The Sea,released_on_year,2000
The Sea,starred_by,Simón Andreu
Ikebukuro West Gate Park,starred_by,Tomoya Nagase
Ikebukuro West Gate Park,released_on_date,2000-04-14 00:00:00
Ikebukuro West Gate Park,released_on_year,2000
Ikebukuro West Gate Park,starred_by,Yōsuke Kubozuka
Ikebukuro West Gate Park,starred_by,Ai Kato
Ikebukuro West Gate Park,starred_by,Tomohisa Yamashita
St. Patrick: The Irish Legend,starred_by,Alan Bates
St. Patrick: The Irish Legend,released_on_date,2000-03-12 00:00:00
St. Patrick: The Irish Legend,released_on_year,2000
St. Patrick: The Irish Legend,starred_by,Malcolm McDowell
The Girls' Room,starred_by,Wil Wheaton
The Girls' Room,released_on_date,2000-03-03 00:00:00
The Girls' Room,released_on_year,2000
The Girls' Room,starred_by,Catherine Taber
Sathyam Sivam Sundaram,directed_by,Rafi Mecartin
Sathyam Sivam Sundaram,starred_by,Aswathi Menon
Sathyam Sivam Sundaram,released_on_date,2000-01-12 00:00:00
Sathyam Sivam Sundaram,released_on_year,2000
Sathyam Sivam Sundaram,starred_by,Jagadish
Beyond the Prairie: The True Story of Laura Ingalls Wilder,directed_by,Marcus Cole
Beyond the Prairie: The True Story of Laura Ingalls Wilder,starred_by,Haley McCormick
Beyond the Prairie: The True Story of Laura Ingalls Wilder,released_on_date,2000-01-02 00:00:00
Beyond the Prairie: The True Story of Laura Ingalls Wilder,released_on_year,2000
Beyond the Prairie: The True Story of Laura Ingalls Wilder,starred_by,Tess Harper
Devils on the Doorstep,directed_by,Jiang Wen
Devils on the Doorstep,starred_by,Jiang Wen
Devils on the Doorstep,released_on_date,2000-05-12 00:00:00
Devils on the Doorstep,released_on_year,2000
Hiya Diya Niya,directed_by,Munin Barua
Hiya Diya Niya,starred_by,Jatin Bora
Hiya Diya Niya,released_on_date,2000-02-25 00:00:00
Hiya Diya Niya,released_on_year,2000
Common Ground,directed_by,Donna Deitch
Common Ground,starred_by,Harvey Fierstein
Common Ground,released_on_date,2000-01-29 00:00:00
Common Ground,released_on_year,2000
Common Ground,starred_by,Helen Shaver
Common Ground,starred_by,Jason Priestley
Common Ground,starred_by,Margot Kidder
Crayon Shin-chan: Jungle That Invites Storm,directed_by,Keiichi Hara
Crayon Shin-chan: Jungle That Invites Storm,starred_by,Teiyū Ichiryūsai
Crayon Shin-chan: Jungle That Invites Storm,released_on_date,2000-04-22 00:00:00
Crayon Shin-chan: Jungle That Invites Storm,released_on_year,2000
Crayon Shin-chan: Jungle That Invites Storm,starred_by,Tesshō Genda
Crayon Shin-chan: Jungle That Invites Storm,starred_by,Chie Satō
Crayon Shin-chan: Jungle That Invites Storm,starred_by,Keiji Fujiwara
Crayon Shin-chan: Jungle That Invites Storm,starred_by,Mari Mashiba
Mary and Rhoda,starred_by,Marisa Ryan
Not of this World,directed_by,Giuseppe Piccioni
Not of this World,starred_by,Margherita Buy
Not of this World,released_on_date,2000-02-25 00:00:00
Not of this World,released_on_year,2000
Cinderella,starred_by,Nickolas Grace
Cinderella,starred_by,Jane Birkin
Cinderella,starred_by,Jenny Tomasin
Cinderella,starred_by,Kathleen Turner
Cinderella,starred_by,Katrin Cartlidge
Frozen,directed_by,Wang Xiaoshuai
Frozen,starred_by,Jia Hongsheng
Frozen,released_on_date,2000-02-22 00:00:00
Frozen,released_on_year,2000
God's Army,directed_by,Richard Dutcher
God's Army,starred_by,Richard Dutcher
God's Army,released_on_date,2000-03-10 00:00:00
God's Army,released_on_year,2000
Missing Pieces,starred_by,James Coburn
The Tigger Movie,directed_by,Jun Falkenstein
The Tigger Movie,starred_by,Jim Cummings
The Tigger Movie,released_on_date,2000-02-11 00:00:00
The Tigger Movie,released_on_year,2000
The Tigger Movie,starred_by,John Fiedler
The Tigger Movie,starred_by,Ken Sansom
Angels of the Universe,directed_by,Friðrik Þór Friðriksson
Angels of the Universe,starred_by,Hilmir Snær Guðnason
Angels of the Universe,released_on_date,2000-01-01 00:00:00
Angels of the Universe,released_on_year,2000
Lies,directed_by,Jang Sun-wu
Lies,starred_by,Lee Sang-hyun
Lies,released_on_date,2000-01-08 00:00:00
Lies,released_on_year,2000
Lies,starred_by,Kim Tae-yeon
Looking for Alibrandi,directed_by,Kate Woods
Looking for Alibrandi,starred_by,Greta Scacchi
Looking for Alibrandi,released_on_date,2000-05-04 00:00:00
Looking for Alibrandi,released_on_year,2000
Looking for Alibrandi,starred_by,Kick Gurry
Looking for Alibrandi,starred_by,Pia Miranda
Shooters,starred_by,Ioan Gruffudd
Center Stage,starred_by,Ethan Stiefel
Center Stage,starred_by,Susan May Pratt
Center Stage,starred_by,Donna Murphy
Tumi Mor Matho Mor,starred_by,Jatin Bora
Winner Takes All,starred_by,Nicholas Tse
Winner Takes All,starred_by,Joey Yung
Winner Takes All,starred_by,Karl Maka
James Pandu,directed_by,Selva
James Pandu,starred_by,Renu Desai
James Pandu,released_on_date,2000-04-21 00:00:00
James Pandu,released_on_year,2000
James Pandu,starred_by,Kausalya
Adventures in Wild California,directed_by,Greg MacGillivray
Adventures in Wild California,starred_by,Jeff Clark
Adventures in Wild California,released_on_date,2000-05-03 00:00:00
Adventures in Wild California,released_on_year,2000
27 Missing Kisses,directed_by,Nana Djordjadze
27 Missing Kisses,starred_by,Pierre Richard
27 Missing Kisses,released_on_date,2000-05-11 00:00:00
27 Missing Kisses,released_on_year,2000
Das Phantom,starred_by,Hilmi Sözer
Das Phantom,starred_by,Jürgen Vogel
Baller Blockin',starred_by,Big Tymers
Bread and Tulips,starred_by,Marina Massironi
Nora,directed_by,Pat Murphy
Nora,starred_by,Ewan McGregor
Nora,released_on_date,2000-04-21 00:00:00
Nora,released_on_year,2000
Nora,starred_by,Susan Lynch
Faithless,starred_by,Erland Josephson
Hands Up!,starred_by,Jayasudha
Ju-On: The Curse,directed_by,Takashi Shimizu
Ju-On: The Curse,starred_by,Chiaki Kuriyama
Ju-On: The Curse,released_on_date,2000-02-11 00:00:00
Ju-On: The Curse,released_on_year,2000
Ju-On: The Curse,starred_by,Takako Fuji
Ju-On: The Curse,starred_by,Takashi Matsuyama
Kauda Bole Alice,starred_by,Dilhani Ekanayake
Kochu Kochu Santhoshangal,directed_by,Sathyan Anthikad
Kochu Kochu Santhoshangal,starred_by,Jayaram
Kochu Kochu Santhoshangal,released_on_date,2000-04-14 00:00:00
Kochu Kochu Santhoshangal,released_on_year,2000
Kochu Kochu Santhoshangal,starred_by,Kalidas Jayaram
Kochu Kochu Santhoshangal,starred_by,Kavya Madhavan
Kochu Kochu Santhoshangal,starred_by,Lakshmi Gopalaswamy
Hera Pheri,starred_by,Paresh Rawal
Isn't She Great,starred_by,John Cleese
Crazy Lips,directed_by,Hirohisa Sasaki
Crazy Lips,starred_by,Kazuma Suzuki
Crazy Lips,released_on_date,2000-02-26 00:00:00
Crazy Lips,released_on_year,2000
Crazy Lips,starred_by,Hiroshi Abe
The Beach,starred_by,Guillaume Canet
Acrobacias del corazón,starred_by,María Teresa Constantini
King of the World,starred_by,John Ventimiglia
King of the World,starred_by,Terrence Howard
King of the World,starred_by,Chi McBride
Eazhaiyin Sirippil,directed_by,K. Subash
Eazhaiyin Sirippil,starred_by,Suvalakshmi
Eazhaiyin Sirippil,released_on_date,2000-02-04 00:00:00
Eazhaiyin Sirippil,released_on_year,2000
Eazhaiyin Sirippil,starred_by,Kausalya
When I Fall in Love... with Both,directed_by,Samson Chiu
When I Fall in Love... with Both,starred_by,Fann Wong
When I Fall in Love... with Both,released_on_date,2000-04-01 00:00:00
When I Fall in Love... with Both,released_on_year,2000
Bruiser,starred_by,Jason Flemyng
Screwed,starred_by,Norm Macdonald
Sex & Mrs. X,starred_by,Paolo Seganti
Sex & Mrs. X,starred_by,Jacqueline Bisset
Old Hags,starred_by,Irina Kupchenko
Old Hags,starred_by,Svetlana Nikolaevna Kryuchkova
Nadan Pennum Natupramaniyum,directed_by,Rajasenan
Nadan Pennum Natupramaniyum,starred_by,Jagathy Sreekumar
Nadan Pennum Natupramaniyum,released_on_date,2000-02-04 00:00:00
Nadan Pennum Natupramaniyum,released_on_year,2000
Nadan Pennum Natupramaniyum,starred_by,Jayaram
Sandhitha Velai,directed_by,Ravichandran
Sandhitha Velai,starred_by,Karthik
Sandhitha Velai,released_on_date,2000-04-14 00:00:00
Sandhitha Velai,released_on_year,2000
Sandhitha Velai,starred_by,Kausalya
Mr. Accident,directed_by,Yahoo Serious
Mr. Accident,starred_by,Helen Dallimore
Mr. Accident,released_on_date,2000-03-24 00:00:00
Mr. Accident,released_on_year,2000
Utsab,starred_by,Deepankar De
Virtual Nightmare,directed_by,Michael Pattinson
Virtual Nightmare,starred_by,Tasma Walton
Virtual Nightmare,released_on_date,2000-04-14 00:00:00
Virtual Nightmare,released_on_year,2000
Priyam,starred_by,Kanakalatha
Priyam,released_on_date,2000-03-31 00:00:00
Priyam,released_on_year,2000
Priyam,starred_by,Manjima Mohan
Priyam,starred_by,Jagathy Sreekumar
Mirka,starred_by,Gérard Depardieu
Mirka,released_on_date,2000-03-10 00:00:00
Mirka,released_on_year,2000
Hospital Central,starred_by,Mar Regueras
Hospital Central,released_on_date,2000-04-30 00:00:00
Hospital Central,released_on_year,2000
Violent Cop,starred_by,Astrid Chan
Monarch of the Glen,starred_by,Hamish Clark
Monarch of the Glen,starred_by,Susan Hampshire
Monarch of the Glen,starred_by,Martin Compston
Monarch of the Glen,starred_by,Hermione Gulliford
Showbiz Tycoon,starred_by,Astrid Chan
Showbiz Tycoon,starred_by,Kathy Chow
Whatever It Takes,starred_by,James Franco
Whatever It Takes,released_on_date,2000-03-24 00:00:00
Whatever It Takes,released_on_year,2000
Whatever It Takes,starred_by,Marla Sokoloff
Whatever It Takes,starred_by,Jodi Lyn O'Keefe
Astoria,starred_by,Paige Turco
Astoria,released_on_date,2000-03-10 00:00:00
Astoria,released_on_year,2000
Astoria,starred_by,Ed Setrakian
A Map of the World,starred_by,Arliss Howard
A Map of the World,starred_by,Chloë Sevigny
Treasure Island,starred_by,Pat Healy
Treasure Island,released_on_date,2000-03-17 00:00:00
Treasure Island,released_on_year,2000
Treasure Island,starred_by,Nick Offerman
Treasure Island,starred_by,Suzy Nakamura
Ikebukuro West Gate Park,starred_by,Ken Watanabe
St. Patrick: The Irish Legend,starred_by,Susannah York
Sathyam Sivam Sundaram,starred_by,Kunchacko Boban
Paromitar Ek Din,starred_by,Soumitra Chatterjee
Beyond the Prairie: The True Story of Laura Ingalls Wilder,starred_by,Meredith Monroe
Devils on the Doorstep,starred_by,Kagawa Teruyuki
Annai,directed_by,Manobala
Annai,starred_by,Nassar
Annai,released_on_date,2000-02-11 00:00:00
Annai,released_on_year,2000
Hiya Diya Niya,starred_by,Ravi Sarma
"Up, Up and Away",starred_by,Michael J. Pagan
"Up, Up and Away",starred_by,Sherman Hemsley
Common Ground,starred_by,Mimi Rogers
Common Ground,starred_by,Steven Weber
Crayon Shin-chan: Jungle That Invites Storm,starred_by,Akio Ōtsuka
